Time,rate
1997/12/01,1163.8
1997/12/02,1174.4
1997/12/03,1240.6
1997/12/04,1249.5
1997/12/05,1156.1
1997/12/06,1220.4
1997/12/08,1220.4
1997/12/09,1332.5
1997/12/10,1423.6
1997/12/11,1563.5
1997/12/12,1719.5
1997/12/13,1737.6
1997/12/15,1737.6
1997/12/16,1643.7
1997/12/17,1405.9
1997/12/19,1486.4
1997/12/20,1618.1
1997/12/22,1618.1
1997/12/23,1685.3
1997/12/24,1964.8
1997/12/26,1850.1
1997/12/27,1512.9
1997/12/29,1512.9
1997/12/30,1449.2
1997/12/31,1415.2
1998/01/03,1695.8
1998/01/05,1695.8
1998/01/06,1716.3
1998/01/07,1790
1998/01/08,1761
1998/01/09,1785.3
1998/01/10,1805.3
1998/01/12,1805.3
1998/01/13,1742
1998/01/14,1755.7
1998/01/15,1715.1
1998/01/16,1597.2
1998/01/19,1621.9
1998/01/20,1581.1
1998/01/21,1637.2
1998/01/22,1714.4
1998/01/23,1746.8
1998/01/26,1749.9
1998/01/30,1688.8
1998/02/02,1572.9
1998/02/03,1553.1
1998/02/04,1566.9
1998/02/05,1600
1998/02/06,1606.2
1998/02/09,1574.6
1998/02/10,1553.3
1998/02/11,1592.9
1998/02/12,1602.9
1998/02/13,1625.8
1998/02/16,1621.5
1998/02/17,1639.4
1998/02/18,1707.3
1998/02/19,1704.4
1998/02/20,1696.3
1998/02/23,1645.2
1998/02/24,1656.2
1998/02/25,1658.3
1998/02/26,1642.2
1998/02/27,1652.6
1998/03/02,1640.1
1998/03/03,1570.6
1998/03/04,1545.6
1998/03/05,1563.7
1998/03/06,1585.6
1998/03/09,1637.6
1998/03/10,1628.5
1998/03/11,1584.9
1998/03/12,1580.9
1998/03/13,1563.3
1998/03/16,1537.7
1998/03/17,1472.4
1998/03/18,1455.4
1998/03/19,1481.6
1998/03/20,1489.6
1998/03/23,1457
1998/03/24,1402.3
1998/03/25,1400.4
1998/03/26,1379.7
1998/03/27,1387.9
1998/03/30,1380.7
1998/03/31,1378.8
1998/04/01,1387
1998/04/02,1382.5
1998/04/03,1410.6
1998/04/06,1445.1
1998/04/07,1469.7
1998/04/08,1443.1
1998/04/09,1407.5
1998/04/10,1382.9
1998/04/13,1380.2
1998/04/14,1395
1998/04/15,1413.5
1998/04/16,1400.5
1998/04/17,1395.5
1998/04/20,1381.3
1998/04/21,1388.3
1998/04/22,1378.9
1998/04/23,1372.2
1998/04/24,1371
1998/04/27,1366.7
1998/04/28,1359.9
1998/04/29,1348.3
1998/04/30,1338.2
1998/05/04,1335.2
1998/05/06,1348.6
1998/05/07,1349.1
1998/05/08,1393.5
1998/05/11,1392.4
1998/05/12,1390.7
1998/05/13,1391.4
1998/05/14,1399.4
1998/05/15,1410.2
1998/05/18,1435
1998/05/19,1441.9
1998/05/20,1451.8
1998/05/21,1428.7
1998/05/22,1387.2
1998/05/25,1380.3
1998/05/26,1384.4
1998/05/27,1390.8
1998/05/28,1405.7
1998/05/29,1400.8
1998/06/01,1410.8
1998/06/02,1400.2
1998/06/03,1403.4
1998/06/05,1391.8
1998/06/08,1395.7
1998/06/10,1399.2
1998/06/11,1391.8
1998/06/12,1389.2
1998/06/15,1400.3
1998/06/16,1416.2
1998/06/17,1428.3
1998/06/18,1419.5
1998/06/19,1392.1
1998/06/22,1400
1998/06/23,1395.6
1998/06/24,1386
1998/06/25,1385.4
1998/06/29,1382.6
1998/06/30,1385.2
1998/07/01,1374.7
1998/07/02,1365.4
1998/07/03,1367.6
1998/07/06,1360.5
1998/07/07,1346
1998/07/08,1347.7
1998/07/09,1333.4
1998/07/10,1317.9
1998/07/13,1311.9
1998/07/14,1312.7
1998/07/15,1294.6
1998/07/16,1277.6
1998/07/20,1281.8
1998/07/21,1286.7
1998/07/22,1289.7
1998/07/23,1291.6
1998/07/24,1281.3
1998/07/27,1251.4
1998/07/28,1218.6
1998/07/29,1222.5
1998/07/30,1244.9
1998/07/31,1236
1998/08/03,1227.4
1998/08/04,1242.4
1998/08/05,1236.8
1998/08/06,1254
1998/08/07,1306.7
1998/08/10,1326.1
1998/08/11,1347
1998/08/12,1334.1
1998/08/13,1333.8
1998/08/14,1336.4
1998/08/17,1324.2
1998/08/18,1330.2
1998/08/19,1325.1
1998/08/20,1304.8
1998/08/21,1297.9
1998/08/27,1308.5
1998/08/28,1315.6
1998/08/31,1331.8
1998/09/01,1351.8
1998/09/02,1355.2
1998/09/03,1343.9
1998/09/04,1333.6
1998/09/07,1331.7
1998/09/08,1340.2
1998/09/09,1355.5
1998/09/10,1362.1
1998/09/11,1367.3
1998/09/14,1369.7
1998/09/15,1388.1
1998/09/16,1390.8
1998/09/17,1376.6
1998/09/18,1380.6
1998/09/21,1388.1
1998/09/22,1390.1
1998/09/23,1395.7
1998/09/24,1403.9
1998/09/25,1395.6
1998/09/28,1386.5
1998/09/29,1384.3
1998/09/30,1373.6
1998/10/01,1385.4
1998/10/02,1388.6
1998/10/07,1386.5
1998/10/08,1381.7
1998/10/09,1361
1998/10/12,1337.3
1998/10/13,1317.6
1998/10/14,1339.3
1998/10/15,1350.8
1998/10/16,1336.6
1998/10/19,1322.9
1998/10/20,1317
1998/10/21,1327.6
1998/10/22,1328.5
1998/10/23,1323.8
1998/10/26,1318.2
1998/10/27,1313.3
1998/10/28,1316.9
1998/10/29,1321
1998/10/30,1315.1
1998/11/02,1313.8
1998/11/03,1318
1998/11/04,1317.3
1998/11/05,1312.5
1998/11/06,1313.5
1998/11/09,1315
1998/11/10,1314.2
1998/11/11,1319.7
1998/11/12,1316.7
1998/11/13,1315.9
1998/11/16,1315.9
1998/11/17,1316.9
1998/11/18,1311.3
1998/11/19,1299.5
1998/11/20,1291.4
1998/11/23,1272.8
1998/11/24,1249.5
1998/11/25,1251.1
1998/11/26,1252.7
1998/11/27,1244.5
1998/11/30,1243.7
1998/12/01,1248
1998/12/02,1241.7
1998/12/03,1237.2
1998/12/04,1229.2
1998/12/07,1214.8
1998/12/08,1208.2
1998/12/09,1217
1998/12/10,1212.2
1998/12/11,1207.9
1998/12/14,1208.1
1998/12/15,1208.4
1998/12/16,1210
1998/12/17,1210.5
1998/12/18,1210
1998/12/21,1208.5
1998/12/22,1198.6
1998/12/23,1205.4
1998/12/24,1206.8
1998/12/28,1207
1998/12/29,1209.9
1998/12/30,1209.3
1998/12/31,1207.8
